no,CarID,State,CarName,RFID#1,RFID#2
1,A1,0,N,54BA12,54B9F2
2,A2,0,N,54BA14,54B9F3
3,V1,0,N,,
4,V2,0,N,,
5,V3,0,N,,
6,V4,0,N,,
7,V5,0,N,,
8,V6,0,N,,
9,V7,0,N,,
10,V8,0,N,,
11,V9,0,N,,
12,V0,0,N,,
13,W1,0,N,,
14,W2,0,N,,
15,W3,0,N,,
16,W4,0,N,,
17,W5,0,N,,
18,W6,0,N,,
19,W7,0,N,,
20,W8,0,N,,
21,W9,0,N,,
22,W0,0,N,,
23,D1,0,N,,
24,D2,0,N,,
25,D3,0,N,,
26,D4,0,N,,
27,N,0,N,,
28,N,0,N,,
29,N,0,N,,
30,N,0,N,,
31,N,0,N,,
32,N,0,N,,
33,N,0,N,,
34,N,0,N,,
35,N,0,N,,
36,N,0,N,,
37,N,0,N,,
38,N,0,N,,
39,N,0,N,,
40,N,0,N,,
